Row ID,Order ID,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,,,,,,,,,
1,CA-2014-115812,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$49 ,7,0,14.1694,,,,,,,,,
2,CA-2014-115812,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907 ,6,0.2,90.7152,,,,,,,,,
3,CA-2014-115812,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706 ",9,0.2,85.3092,,,,,,,,,
4,CA-2014-115812,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911 ,4,0.2,68.3568,,,,,,,,,
5,CA-2014-143336,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,$213 ,3,0.2,16.011,,,,,,,,,
6,US-2017-156909,Second Class,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71 ,2,0.3,-1.0196,,,,,,,,,
7,CA-2015-106320,Standard Class,EB-13870,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,045 ",3,0,240.2649,,,,,,,,,
8,CA-2016-121755,Second Class,EH-13945,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$91 ,3,0,11.7741,,,,,,,,,
9,US-2015-150630,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083 ",7,0.5,-1665.0522,,,,,,,,,
10,US-2015-150630,Standard Class,TB-21520,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124 ,3,0.2,15.525,,,,,,,,,
11,CA-2016-169194,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45 ,3,0,4.95,,,,,,,,,
12,CA-2016-169194,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$22 ,2,0,6.104,,,,,,,,,
13,CA-2016-105816,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,030 ",5,0,298.6855,,,,,,,,,
14,CA-2016-111682,First Class,TB-21055,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,$319 ,5,0.1,7.098,,,,,,,,,
15,CA-2016-111682,First Class,TB-21055,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30 ,2,0,3.3,,,,,,,,,
16,CA-2015-135545,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$14 ,2,0,6.1512,,,,,,,,,
17,CA-2015-135545,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$80 ,4,0,22.3328,,,,,,,,,
18,CA-2014-106376,Standard Class,BS-11590,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,$168 ,4,0.2,62.988,,,,,,,,,
19,CA-2016-109806,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$74 ,2,0.2,8.2782,,,,,,,,,
20,CA-2017-161018,Second Class,PN-18775,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,$97 ,7,0,40.5426,,,,,,,,,
21,US-2015-156867,Standard Class,LC-16870,Consumer,United States,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,$239 ,6,0.2,-26.8758,,,,,,,,,
22,US-2015-156867,Standard Class,LC-16870,Consumer,United States,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",$102 ,3,0.2,-3.8385,,,,,,,,,
23,CA-2017-146780,Standard Class,CV-12805,Corporate,United States,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,$42 ,2,0,10.9096,,,,,,,,,
24,CA-2015-110457,Standard Class,DK-13090,Consumer,United States,Seattle,Washington,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,$788 ,3,0,165.3813,,,,,,,,,
25,CA-2016-103730,First Class,SC-20725,Consumer,United States,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,$47 ,3,0,18.3456,,,,,,,,,
26,CA-2016-103730,First Class,SC-20725,Consumer,United States,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,$68 ,7,0,19.7316,,,,,,,,,
27,US-2016-125969,Second Class,LS-16975,Home Office,United States,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",$81 ,2,0.2,-9.1602,,,,,,,,,
28,US-2016-125969,Second Class,LS-16975,Home Office,United States,Los Angeles,California,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,$239 ,3,0,26.2416,,,,,,,,,
29,US-2017-164147,First Class,DW-13585,Corporate,United States,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,$60 ,5,0.4,-11.994,,,,,,,,,
30,CA-2016-145583,Standard Class,LC-16885,Consumer,United States,Roseville,California,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,$43 ,14,0,20.6976,,,,,,,,,
31,CA-2016-110366,Second Class,JD-15895,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$83 ,2,0.2,10.35,,,,,,,,,
32,CA-2014-110072,Standard Class,MG-17680,Home Office,United States,Newark,Ohio,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",$94 ,4,0.2,12.9096,,,,,,,,,
33,CA-2016-158834,First Class,TW-21025,Home Office,United States,Scottsdale,Arizona,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,$203 ,2,0.2,15.2388,,,,,,,,,
34,CA-2014-104269,Second Class,DB-13060,Consumer,United States,Seattle,Washington,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,$458 ,2,0.2,51.4764,,,,,,,,,
35,CA-2015-119697,Second Class,EM-13960,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,$54 ,2,0.2,1.3596,,,,,,,,,
36,CA-2014-118962,Standard Class,CS-12130,Consumer,United States,Los Angeles,California,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",$340 ,7,0.2,21.259,,,,,,,,,
37,US-2015-101511,Second Class,JE-15745,Consumer,United States,Newark,Ohio,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",$397 ,7,0.3,-11.3372,,,,,,,,,
38,CA-2014-123260,Standard Class,FM-14290,Home Office,United States,Los Angeles,California,West,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,$177 ,8,0,22.984,,,,,,,,,
39,CA-2015-102281,First Class,MP-17470,Home Office,United States,New York City,New York,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",$899 ,4,0.2,112.392,,,,,,,,,
40,CA-2015-102281,First Class,MP-17470,Home Office,United States,New York City,New York,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,$72 ,6,0,20.0928,,,,,,,,,
41,CA-2015-102281,First Class,MP-17470,Home Office,United States,New York City,New York,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$626 ,3,0.2,46.9764,,,,,,,,,
42,CA-2014-133690,First Class,BS-11755,Consumer,United States,Denver,Colorado,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,$219 ,2,0.5,-161.875,,,,,,,,,
43,CA-2017-108329,Standard Class,LE-16810,Consumer,United States,Whittier,California,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,$445 ,4,0.2,44.4768,,,,,,,,,
44,CA-2015-146262,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,$452 ,5,0.5,-244.323,,,,,,,,,
45,CA-2015-146262,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,$63 ,3,0.4,-14.6958,,,,,,,,,
46,CA-2015-146262,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,"$1,188 ",9,0.7,-950.4,,,,,,,,,
47,CA-2015-146262,Standard Class,VW-21775,Corporate,United States,Medina,Ohio,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,$90 ,2,0.2,4.4792,,,,,,,,,
48,CA-2016-130162,Standard Class,JH-15910,Consumer,United States,Los Angeles,California,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,$302 ,3,0.2,22.6782,,,,,,,,,
49,CA-2015-169397,First Class,JB-15925,Consumer,United States,Dublin,Ohio,East,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",$73 ,4,0.2,19.0848,,,,,,,,,
50,CA-2015-169397,First Class,JB-15925,Consumer,United States,Dublin,Ohio,East,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,$480 ,4,0.7,-383.9904,,,,,,,,,
51,CA-2016-154739,Second Class,LH-17155,Consumer,United States,San Francisco,California,West,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",$322 ,2,0.2,28.1372,,,,,,,,,
52,CA-2016-145625,Standard Class,KC-16540,Consumer,United States,San Diego,California,West,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,"$3,347 ",13,0,636.0003,,,,,,,,,
53,CA-2017-163139,Second Class,CC-12670,Consumer,United States,New York City,New York,East,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,$20 ,3,0,6.9258,,,,,,,,,
54,CA-2015-155040,Standard Class,AH-10210,Consumer,United States,Brentwood,California,West,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,$80 ,2,0,35.156,,,,,,,,,
55,CA-2015-155334,First Class,HA-14920,Consumer,United States,San Francisco,California,West,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,$210 ,7,0,92.3692,,,,,,,,,
56,CA-2015-155334,First Class,HA-14920,Consumer,United States,San Francisco,California,West,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,$5 ,3,0,2.3232,,,,,,,,,
57,CA-2015-130890,Standard Class,JO-15280,Consumer,United States,Los Angeles,California,West,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top","$1,039 ",5,0.2,51.942,,,,,,,,,
58,CA-2015-130883,Standard Class,TB-21520,Consumer,United States,Portland,Oregon,West,TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse,$240 ,5,0.2,47.96,,,,,,,,,
